episod,total_reward,z_pos
540,241.56438620521982,36.78549949251065
541,241.8573869314218,36.83933271180787
542,241.91633271100395,36.90658229677481
543,241.50021009236727,36.66648318197371
544,241.57902261415794,36.996880429146394
545,241.75694149115455,37.04556841637198
546,242.00520819284802,36.869373605153996
547,241.5680183032811,36.95104619351448
548,241.69986557870536,36.910124270533565
549,242.33594287684875,37.13970066827351
550,241.67186248879793,36.72155410695459
551,241.94979405129678,37.20256571862128
552,241.8927810976558,37.20482729841759
553,241.59434117533667,36.819474484448975
554,242.00357133435435,37.20054167637702
555,241.84385230701182,37.063389793004795
556,241.6792681442159,37.08336085629333
557,242.19565239878594,37.11436975643366
558,242.34845011619672,37.26704522910949
559,242.01821845067536,37.07106080553492
560,241.8970963572477,37.05563029969687
561,241.96971114129883,37.156487244870064
562,241.22839540542967,36.949049890548075
563,241.88959168466488,36.996705655812264
564,242.360466386204,37.30134088093461
565,241.74178884423802,37.00546916195141
566,241.44772151000942,36.993189512469336
567,242.17448079664592,37.28592905330522
568,242.1584725653981,36.99840450577668
569,241.9307342501942,36.72617855893594
570,242.00713041065194,37.199989849468444
571,241.68914768168693,37.10238498595934
572,241.94387058638074,36.45474329503387
573,241.86957772724654,37.157029755660076
574,241.90739562165695,37.04692383618861
575,242.28446778887616,37.249246842593436
576,241.5886565918361,36.23332674281334
577,241.63005085070816,37.159372442175275
578,241.41447076347092,36.88740596888972
579,242.5978549598578,37.32151331124968
580,241.5043771525324,37.04990767066628
581,241.70782847291736,36.8691784880238
582,242.11024294469433,37.242709979578976
583,241.41004687374337,36.59770595829638
584,241.84934505472674,36.62983215004891
585,241.66330807916503,36.51278305558768
586,241.7378405545488,36.80867230631994
587,242.4427731627218,37.22214107180735
588,241.7650509679981,37.08460171351191
589,242.0768993755654,37.16956382485333
590,241.61612643228523,36.76578710401175
591,241.78268788005056,36.96195071058922
592,241.82078542667625,37.03113118905461
593,241.76643958079208,36.77167763999781
594,242.17263858153797,37.042873327101134
595,242.0992750351547,36.94293574871117
596,241.64720726446964,35.73866971886084
597,241.58293221265072,37.01441037011924
598,241.75200278052642,36.91729165629135
599,241.73381557869567,37.09890818122938
600,241.8878487546782,37.08776396906195
601,241.46424540183418,36.75352868241709
602,241.45139257323072,37.00508525514539
603,241.50809041810777,37.05416912371047
604,242.14519431840895,37.03496632178676
605,241.81537056267342,36.32326344618309
606,242.27460919343554,37.20369371354212
607,241.86282319287685,36.95473453188639
608,241.71671914634263,36.96631645638782
609,241.08608081347208,36.84548920750364
610,241.33641551576886,37.024144914869154
611,241.8492281509257,37.13718215264602
612,241.85088870707315,37.15406061132267
613,240.94959356492217,36.708896551698096
614,242.31674463166894,37.30443037074826
615,241.83885465562358,37.14541292972271
616,241.24112489705672,36.870225505032394
617,242.00040231788194,36.48570443201192
618,241.06910143969782,36.79827027959737
619,242.1288483884246,37.22350134135642
620,241.56649613257377,37.00949711238443
621,242.013754697365,37.14819614219293
622,241.34956305879993,36.92900657902388
623,241.4612084288051,36.595404305436965
624,241.35503412428264,36.89789552959964
625,241.4239114926232,37.010759011914956
626,241.81857398331593,37.14636357403703
627,241.74882427949342,37.03556777811861
628,242.1757301836773,37.21836429818671
629,241.9876951514646,36.92365493191428
630,241.27397594141607,36.8451486135888
631,241.67313040164933,36.233639819321716
632,242.0520994860721,37.0949339459941
633,241.60672018292883,36.52715740634815
634,242.1726619566495,36.91496080348812
635,241.5261482688734,36.007922475414745
636,242.37853342447127,36.93055712603313
637,241.59360504968393,37.02190302974532
638,241.99148707681596,37.24828281685846
639,241.4970526310497,37.07310872286348
640,242.2701890908579,36.82799123642707
641,241.1067516638762,36.756209043872275
642,241.57417924632074,37.00230547753492
643,241.50564083195798,37.07504059981828
644,241.93159611808406,37.19765605936621
645,242.03172622175083,37.22501202156581
646,241.46092797662757,36.14370086384252
647,241.60765084070476,36.94600428511949
648,241.3640028119175,36.823174552981556
649,241.86579016041708,37.07624746181087
650,242.08676310586154,37.017778770194965
651,241.75557536055206,37.12081683094545
652,241.854362417953,37.11203972634144
653,242.22841187866615,36.81655100802665
654,241.66101060600081,36.935856865049246
655,241.94468637218137,37.1800301790178
656,241.3286165159145,37.0351558799602
657,241.55069013418694,36.98046826558389
658,242.17607520177404,37.0003764558277
659,241.90802397222225,37.15236650714116
660,241.65755685698485,37.12635156961267
661,241.55142831622322,36.91599433380193
662,242.18051867895375,37.187718562330744
663,241.71498082841606,37.0549875601659
664,242.0371614863379,37.161274294437035
665,241.9018427402894,37.16664373770064
666,241.75754084227947,36.99202063540575
667,241.09918765466696,36.49422692230212
668,241.81625876914052,36.40531015380388
669,242.4784131643677,37.369328216526654
670,241.8745628782524,36.97867215131475
671,242.12833574858007,37.150516206148865
672,241.31335448332436,37.01085851152947
673,242.04062781802665,36.96247985462963
674,241.35876528969936,36.99843219661325
675,242.04852178838922,37.215233802801734
676,241.77029676655522,37.024806776015836
677,242.11307057331882,37.059912335005194
678,241.62840332695617,37.05545118995739
679,242.07962447728167,37.199729648964485
680,241.32804496462407,36.92288365562164
681,241.86621786013868,37.13814567024902
682,241.38564041039106,35.719498610594236
683,241.12385574810693,36.394675105141474
684,241.8130271299134,37.14784619482869
685,241.72441741720323,37.160218343969895
686,241.22963684292932,36.94689687147015
687,242.04555977941993,37.27493622496251
688,241.96323307996175,36.58559064461224
689,241.5177451121168,37.05330571766881
690,241.72173483638872,37.03260527397142
691,241.89781066667285,36.91484375369386
692,242.3015366258163,37.200747340345046
693,241.55759549408793,36.88685405029996
694,241.87584817673508,37.09131125513196
695,241.798488895347,37.17134165746595
696,241.849734707074,37.14109152304609
697,241.84200862694797,36.90071547276588
698,241.99730711718553,37.12831216034643
699,241.7456571348557,36.88009996191677
700,241.60112793811476,37.05439116788769
701,241.68537797281365,36.98695290111801
702,241.58375976538508,37.09461593723218
703,242.1113564888721,36.23488442794349
704,241.96438803291417,37.09376285543587
705,241.72984893440884,36.64179307894861
706,241.53617708746205,36.82192301414711
707,241.57851520486582,37.10153431871555
708,241.51540068000307,37.07286280656638
709,242.4200108678313,36.87201118325606
710,242.1617328304244,37.23350076725327
711,241.61523390508424,37.05814948983904
712,241.5385070520305,37.031995703427775
713,241.53692731163866,36.662304571344315
714,241.50218285495532,37.019881789523225
715,241.67482178323795,36.65146471917469
716,242.09138218425775,37.23478282193824
717,241.64198878730735,37.04593313831643
718,242.09702109548866,37.19770098860448
719,241.80880611772417,37.13369251152756
720,241.85842889858318,36.61830760297407
721,241.96611143239892,37.115287551019115
722,241.53108323388943,36.71230507870313
723,241.88061817459055,37.09134533826524
724,241.66515501192546,37.010947699563594
725,241.50301099920893,36.966253490462606
726,242.12316949271502,37.23992892579656
727,241.81485611541675,37.10428050422882
728,241.88972917791787,36.97460108049689
729,241.95044260120454,37.195248817979305
730,241.9894436858073,37.134906824816284
731,241.98555768718546,37.114597917657306
732,241.59979686746598,37.100996323555286
